Rank,School,School URL,District,District URL,Address,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Full-time Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Standard Score
1,Riverside STEM Academy,https://www.schooldigger.com/go/CA/schools/3315013103/school.aspx,Riverside Unified,https://www.schooldigger.com/go/CA/district/33150/search.aspx,4466 Mt.Vernon Ave.,Riverside,https://www.schooldigger.com/go/CA/city/Riverside/search.aspx,92507,Riverside County,(951) 788-7308,5,12,No,No,No,No,663,25,26.50,0.32,0.07,0.00,0.22,0.31,0.01,0.05,0.34,99.9
2,Whitney (Gretchen) High,https://www.schooldigger.com/go/CA/schools/0162000029/school.aspx,ABC Unified,https://www.schooldigger.com/go/CA/district/01620/search.aspx,16800 Shoemaker Ave.,Cerritos,https://www.schooldigger.com/go/CA/city/Cerritos/search.aspx,90703,Los Angeles County,(562) 229-7745,7,12,No,No,No,No,1009,39.2,25.70,0.25,0.02,0.00,0.76,0.15,0.00,0.03,0.04,99.7
3,William & Marian Ghidotti High,https://www.schooldigger.com/go/CA/schools/2688011700/school.aspx,Nevada Joint Union High,https://www.schooldigger.com/go/CA/district/26880/search.aspx,250 Sierra College Dr.,Grass Valley,https://www.schooldigger.com/go/CA/city/Grass+Valley/search.aspx,95945,Nevada County,(530) 274-5270,9,12,No,No,No,No,169,6.1,27.30,0.28,0.01,0.01,0.05,0.07,0.00,0.05,0.82,99.7
4,Oxford Academy,https://www.schooldigger.com/go/CA/schools/0263007580/school.aspx,Anaheim Union High,https://www.schooldigger.com/go/CA/district/02630/search.aspx,5172 Orange Ave.,Cypress,https://www.schooldigger.com/go/CA/city/Cypress/search.aspx,90630,Orange County,(714) 220-3055,7,12,No,No,No,No,1250,43,29.00,0.36,0.01,0.00,0.70,0.19,0.00,0.02,0.08,99.5
5,Lynbrook High,https://www.schooldigger.com/go/CA/schools/1443001698/school.aspx,Fremont Union High,https://www.schooldigger.com/go/CA/district/14430/search.aspx,1280 Johnson Ave.,San Jose,https://www.schooldigger.com/go/CA/city/San+Jose/search.aspx,95129,Santa Clara County,(408) 366-7700,9,12,(n/a),No,No,No,1880,80,23.40,0.06,0.00,0.00,0.84,0.04,0.00,0.05,0.07,99.4
6,Grossmont Middle College High,https://www.schooldigger.com/go/CA/schools/1623010630/school.aspx,Grossmont Union High,https://www.schooldigger.com/go/CA/district/16230/search.aspx,8800 Grossmont College Dr.,El Cajon,https://www.schooldigger.com/go/CA/city/El+Cajon/search.aspx,92020,San Diego County,(619) 644-7524,11,12,Yes,No,No,No,59,3.5,16.80,0.46,0.02,0.00,0.03,0.32,0.00,0.12,0.51,99.4
7,Academy of the Canyons,https://www.schooldigger.com/go/CA/schools/4251008517/school.aspx,William S. Hart Union High,https://www.schooldigger.com/go/CA/district/42510/search.aspx,26455 Rockwell Canyon Rd.,Santa Clarita,https://www.schooldigger.com/go/CA/city/Santa+Clarita/search.aspx,91355,Los Angeles County,(661) 362-3056,9,12,No,No,No,No,411,13.1,31.20,0.14,0.02,0.00,0.39,0.20,0.00,0.06,0.34,99.3
8,Campolindo High,https://www.schooldigger.com/go/CA/schools/0165000033/school.aspx,Acalanes Union High,https://www.schooldigger.com/go/CA/district/01650/search.aspx,300 Moraga Rd.,Moraga,https://www.schooldigger.com/go/CA/city/Moraga/search.aspx,94556,Contra Costa County,(925) 280-3950,9,12,No,No,No,No,1406,68.4,20.50,0.03,0.01,0.00,0.16,0.10,0.00,0.10,0.63,99.3
9,Middle College High,https://www.schooldigger.com/go/CA/schools/2223008616/school.aspx,Lodi Unified,https://www.schooldigger.com/go/CA/district/22230/search.aspx,5151 Pacific Ave.,Stockton,https://www.schooldigger.com/go/CA/city/Stockton/search.aspx,95207,San Joaquin County,(209) 954-5790,9,12,No,No,No,No,254,8.3,30.60,0.50,0.03,0.01,0.58,0.21,0.02,0.04,0.11,99.2
10,University High,https://www.schooldigger.com/go/CA/schools/0183411911/school.aspx,University High District,https://www.schooldigger.com/go/CA/district/01834/search.aspx,2611 E. Matoian M/S UH134,Fresno,https://www.schooldigger.com/go/CA/city/Fresno/search.aspx,93740,Fresno County,(559) 278-8263,9,12,Yes,Yes,No,No,488,19.3,25.20,0.19,0.03,0.00,0.36,0.26,0.00,0.07,0.28,99.2
