School,School URL,District,District URL,City,City URL,Zip,County,Phone,Low Grade,High Grade,Is Title I,Is Charter,Is Magnet,Is Virtual,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Standard Score
Irma Lerma Rangel Young Women's Leadership School,https://www.schooldigger.com/go/TX/schools/1623010561/school.aspx,Dallas Independent School District,https://www.schooldigger.com/go/TX/district/16230/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75210,Dallas,(972) 749-5200,9,12,Yes,No,Yes,Yes,270,19,14.2,0.84,0.17,0,0.03,0.76,0,0,0.03,97.8
School Of Science And Engineering,https://www.schooldigger.com/go/TX/schools/1623003641/school.aspx,Dallas Independent School District,https://www.schooldigger.com/go/TX/district/16230/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75203,Dallas,(972) 925-5960,9,12,Yes,No,Yes,Yes,395,24,16.4,0.66,0.16,0.02,0.11,0.55,0.01,0.01,0.15,97.7
Lasa High School,https://www.schooldigger.com/go/TX/schools/0894011930/school.aspx,Austin Independent School District,https://www.schooldigger.com/go/TX/district/08940/search.aspx,Austin,https://www.schooldigger.com/go/TX/city/Austin/search.aspx,78724,Travis,(512) 414-2589,9,12,No,No,No,No,1002,62,16.1,0.12,0.02,0,0.17,0.21,0,0.04,0.56,97.7
School For The Talented And Gifted,https://www.schooldigger.com/go/TX/schools/1623005865/school.aspx,Dallas Independent School District,https://www.schooldigger.com/go/TX/district/16230/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75203,Dallas,(972) 925-5970,9,12,No,No,Yes,Yes,252,16,15.7,0.27,0.12,0,0.24,0.25,0,0.01,0.37,97.6
Debakey H S For Health Prof,https://www.schooldigger.com/go/TX/schools/2364002483/school.aspx,Houston Independent School District,https://www.schooldigger.com/go/TX/district/23640/search.aspx,Houston,https://www.schooldigger.com/go/TX/city/Houston/search.aspx,77021,Harris,(713) 741-2410,9,12,Yes,No,Yes,No,844,51,16.5,0.42,0.17,0,0.44,0.28,0.01,0.01,0.1,97.3
Health Careers High School,https://www.schooldigger.com/go/TX/schools/3312006023/school.aspx,Northside Independent School District,https://www.schooldigger.com/go/TX/district/33120/search.aspx,San Antonio,https://www.schooldigger.com/go/TX/city/San+Antonio/search.aspx,78229,Bexar,(210) 397-5400,9,12,No,No,Yes,No,852,48,17.7,0.29,0.04,0.01,0.16,0.52,0.02,0.04,0.21,96.9
Dr Wright L Lassiter Junior Early College High School,https://www.schooldigger.com/go/TX/schools/1623006532/school.aspx,Dallas Independent School District,https://www.schooldigger.com/go/TX/district/16230/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75202,Dallas,(214) 860-2356,9,12,Yes,No,No,Yes,241,14,17.2,0.66,0.15,0.01,0.03,0.76,0.01,0,0.05,96.7
School Of Business And Management,https://www.schooldigger.com/go/TX/schools/1623001225/school.aspx,Dallas Independent School District,https://www.schooldigger.com/go/TX/district/16230/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75203,Dallas,(972) 925-5920,9,12,Yes,No,Yes,Yes,505,30,16.8,0.79,0.24,0,0.01,0.72,0,0.01,0.02,96.6
Judson Early College Academy,https://www.schooldigger.com/go/TX/schools/2499012011/school.aspx,Judson Independent School District,https://www.schooldigger.com/go/TX/district/24990/search.aspx,Live Oak,https://www.schooldigger.com/go/TX/city/Live+Oak/search.aspx,78233,Bexar,(210) 945-5100,9,12,Yes,No,No,Yes,456,19,24,0.49,0.21,0,0.04,0.5,0.01,0.05,0.19,96.6
Trinidad Garza Early College At Mt View,https://www.schooldigger.com/go/TX/schools/1623011197/school.aspx,Dallas Independent School District,https://www.schooldigger.com/go/TX/district/16230/search.aspx,Dallas,https://www.schooldigger.com/go/TX/city/Dallas/search.aspx,75211,Dallas,(214) 860-3680,9,12,Yes,No,No,Yes,419,24,17.4,0.84,0.11,0,0.01,0.86,0,0.01,0.01,96.4
